,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
SP100,1078.1012202483446,0.9189899861786652,0.16342705284161163,5.623242726339326,1.8740578591991916e-08,3.1305482796808818e-06,True
CXCL6,348.09976090907423,1.0678606895998866,0.19030839850667286,5.611211580672535,2.0091493107515288e-08,3.31763666646626e-06,True
GARS,2879.055304605489,0.7477509713582129,0.13344642490347075,5.603379572731925,2.102121859163495e-08,3.431713935084406e-06,True
ADH6,23.412079516825372,-3.289698087620968,0.58958003390382,-5.579731161923347,2.408906105833012e-08,3.8883533838648375e-06,True
ADM2,89.56362591445115,2.192708273903716,0.3931779603448072,5.576885011511749,2.448636097096975e-08,3.908567352321683e-06,True
KYNU,3045.2634306415307,0.664617609847062,0.11938816148896324,5.566863594833916,2.593652659675013e-08,4.094551000977058e-06,True
TDRD7,456.4311569870142,0.8981391997927147,0.16188475579831088,5.548015904052691,2.8892960026454788e-08,4.463185631613435e-06,True
PRDM1,120.71015029209572,1.3690224289389963,0.24669942715779228,5.549353902890707,2.8672724021639064e-08,4.463185631613435e-06,True
SAT1,8004.140579131163,1.1186183086527641,0.20182831016006017,5.542425181906555,2.983108789199244e-08,4.559078815493227e-06,True
SEMA4B,2592.4243611670995,0.6053096029341453,0.10930657190986841,5.537723783280561,3.064280284699626e-08,4.603529608222633e-06,True
SAMD9,1473.4424923331576,1.3052915229837505,0.23573819083292646,5.537038858115455,3.0762831852246466e-08,4.603529608222633e-06,True
EPSTI1,111.92324127754586,2.2689061673165307,0.41240479222133547,5.50164840494584,3.762567124458213e-08,5.57247827937801e-06,True
AOX1,130.85417472626645,0.9780443259428244,0.17812349142831888,5.490821665913801,4.000681510590237e-08,5.805433392034277e-06,True
PGLYRP4,23.912048870984318,1.5936526043972883,0.2901826814235761,5.491894266670769,3.9764544323005234e-08,5.805433392034277e-06,True
BMPER,58.31647447865258,1.5872050299558191,0.29023166789829713,5.468752054003999,4.532152193657678e-08,6.51088984140862e-06,True
ITGA5,1857.834970268636,0.7534373766869258,0.1382536361101469,5.449674944438068,5.046196398467704e-08,7.1775898475630734e-06,True
C1R,730.155774963228,1.3316913012357647,0.24456321891984384,5.445182260510848,5.175236677593777e-08,7.288965697089431e-06,True
CES2,968.0091626084887,-0.423206002527157,0.0779287742233531,-5.430677009164784,5.614066303077182e-08,7.763136234690785e-06,True
FUT1,57.17863523191485,2.4847276696978526,0.4575513531592307,5.430489173601356,5.619978897451216e-08,7.763136234690785e-06,True
TMEM156,388.0796243700759,1.0041030839243177,0.1853227715851068,5.418131162921865,6.022522870156269e-08,8.239958433587139e-06,True
AMPD3,193.26403213819083,1.2595380900046689,0.23302315695807393,5.405205673319789,6.473406848835077e-08,8.773298376449501e-06,True
INHBA,531.1614254325104,1.823799930399706,0.33785974837933674,5.398097699261911,6.73511906781822e-08,9.042684161521172e-06,True
CDV3,2557.1557219170973,0.4865449645934021,0.0903467484999221,5.385306861306931,7.232115638502415e-08,9.620053079882008e-06,True
CYTH1,870.3781492452401,0.6353009150219133,0.11801571248630952,5.383189251987203,7.317752757846448e-08,9.644663864148815e-06,True
FAM129A,267.7716237000893,1.8968636459691974,0.3525771095965834,5.379996586107298,7.448725124655702e-08,9.728035012800346e-06,True
ADRB2,313.68589140826,1.1415895758168009,0.2123995492103457,5.374726924143563,7.66988330323873e-08,9.926625543633117e-06,True
THEMIS2,100.14454396590016,1.1144235787695822,0.20744763276339556,5.372071803974926,7.783710004888182e-08,9.983998029484252e-06,True
CREB5,133.56394598011934,1.4146741470485837,0.26344046376494445,5.369995659857443,7.873853708318125e-08,1.00102462277609e-05,True
H1F0,2885.1171654216573,0.8073939476415548,0.15044685732997956,5.366638838262162,8.021745664551332e-08,1.0108806861135477e-05,True
TMEM206,237.29411738401228,0.43794266735972187,0.08165015880479651,5.363647465851532,8.155800845324128e-08,1.0188368255993602e-05,True
ZFP28,85.77759985121838,0.7403849887748213,0.13829701899632466,5.353586029171731,8.622800973299348e-08,1.0594554441553514e-05,True
VEGFA,2549.41490671905,1.1895059996893473,0.22219355460796147,5.353467618752997,8.628448208699438e-08,1.0594554441553514e-05,True
TRIP4,487.4933844573272,0.389645605251879,0.07301077020031775,5.336823651946398,9.458895505249931e-08,1.1515804476984788e-05,True
IRF9,552.5662358500455,1.242955616309483,0.2335041687986594,5.323055355732129,1.0203867690380121e-07,1.2318383465546288e-05,True
OPTN,1884.418684985155,0.9529232249528292,0.1791096610202705,5.320334031814081,1.0357690155125754e-07,1.239988139737805e-05,True
ARHGEF28,1300.227522597969,0.5647515280619942,0.10628588334539246,5.3135139896871015,1.0753117640493607e-07,1.2532306062829103e-05,True
KLF11,180.08487032403409,0.8284889353738906,0.1558520648230747,5.31586755885719,1.061503399360174e-07,1.2532306062829103e-05,True
WTAP,792.6801800428954,0.5312150355420316,0.09999472028707028,5.312430836518074,1.0817248724702831e-07,1.2532306062829103e-05,True
MYC,2339.9927175676535,0.38816698803892147,0.07306116048806217,5.312904769728452,1.0789142778029505e-07,1.2532306062829103e-05,True
TGFA,961.7351575533534,0.820356729588524,0.15456286140718375,5.307592795059342,1.1108245781966264e-07,1.2766484712298188e-05,True
PCDH1,1038.8371072530956,1.437333035069866,0.2709228949117124,5.30532141086954,1.1247463796955225e-07,1.2823894040242759e-05,True
GRB10,1067.1936851660948,1.0120371315463246,0.19082050009799156,5.303608003472457,1.1353597942048467e-07,1.2842975435863645e-05,True
AKAP12,2601.5008943883768,1.3786737098134794,0.2600472196481442,5.3016283414946255,1.147743172295043e-07,1.2881623760305146e-05,True
RUNX2,56.779765026388475,1.9733402825474764,0.3732323480675609,5.287163057448255,1.2422789738752884e-07,1.3834557936970848e-05,True
PARP12,534.7006552903148,0.8511780001633844,0.1610693763549526,5.2845427195770736,1.2601914040330787e-07,1.3926084392568622e-05,True
KBTBD2,668.3768459712967,0.48859169090462834,0.09264888770113587,5.273583990351978,1.337849834725998e-07,1.4671412767689837e-05,True
