Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),56/621,2.678923243686381e-29,6.268680390226131e-26,0,0,8.437553588987218,555.1028769892836,CXCL6;IFITM1;CSF2;IFIT1;CXCL3;TNF;CXCL2;IFIT3;CX3CL1;CXCL5;ICAM1;GRB10;IL11;MMP1;TRAF1;TNFRSF1B;MMP9;VAV1;EREG;IL1A;OAS1;IL23A;IL1B;OAS3;IRF1;IRF7;LTB;IRF9;BIRC3;PTAFR;PDGFB;IFI6;IL20RB;SAMHD1;IRAK2;CCL5;CCL2;FYN;GBP1;DUOX2;STAT5A;IL32;TNFSF14;CCL20;STAT1;TNFRSF9;MX2;MX1;LIF;IL36G;SOD2;VEGFA;NFKBIA;IL6;IL7R;XAF1
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),43/482,2.4684626251855194e-22,2.8881012714670577e-19,0,0,7.934763882774066,394.7805014850756,CSF2;PTAFR;IL20RB;IFIT1;TNF;CXCL2;CX3CL1;ICAM1;IFI16;IRAK2;CCL5;ANKRD1;GRB10;HAS2;CCL2;FYN;GBP1;DUOX2;GBP4;NKX3-1;GBP3;STAT5A;IL32;GBP5;IL11;DUSP1;CCL20;STAT1;MMP1;LIF;IL36G;TNFRSF1B;MMP9;VAV1;EREG;VEGFA;IL1A;IL6;OAS1;IL23A;IL1B;IRF1;TLR2
KEGG_2021_Human,TNF signaling pathway,22/112,2.9617380390570493e-19,6.604675827097219e-17,0,0,18.52586872586873,790.3754454269276,CXCL6;CSF2;CCL20;LIF;TNFAIP3;TRAF1;CXCL3;TNFRSF1B;TNF;CXCL2;MMP9;CX3CL1;CXCL5;ICAM1;NFKBIA;IL6;IL1B;IRF1;CCL5;CCL2;BIRC3;CREB5
KEGG_2021_Human,Rheumatoid arthritis,19/93,3.931077843127963e-17,4.383151795087679e-15,0,0,19.25185681865071,727.2395253321122,CXCL6;IL11;CSF2;MMP1;CCL20;CXCL3;CXCL2;TNF;CXCL5;ICAM1;VEGFA;IL1A;IL6;IL23A;IL1B;CCL5;CCL2;LTB;TLR2
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),21/124,4.8609865695497216e-17,3.791569524248783e-14,0,0,15.382225541448843,577.798002806326,RTP4;IFITM1;APOBEC3G;DDX58;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFI44L;IFIT3;IFIH1;IL6;OAS1;IFI16;IRF1;OAS3;IRF7;NLRP1;TLR2
KEGG_2021_Human,NOD-like receptor signaling pathway,23/181,1.0564750450130514e-15,7.853131167930349e-14,0,0,11.03677264252772,380.5902848976132,GBP5;STAT1;TNFAIP3;CXCL3;TNF;CXCL2;NFKBIA;IL6;OAS1;IFI16;IL1B;OAS3;CCL5;IRF7;TXNIP;NLRP3;CCL2;NLRP1;GBP1;IRF9;GBP4;BIRC3;GBP3
GO_Biological_Process_2021,defense response to virus (GO:0051607),21/133,2.1508536499099023e-16,1.258249385197293e-13,0,0,14.13966346153846,510.09538223614777,RTP4;IFITM1;APOBEC3G;DDX58;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFI44L;IFIT3;IFIH1;IL6;OAS1;IFI16;IRF1;OAS3;IRF7;NLRP1;TLR2
KEGG_2021_Human,Cytokine-cytokine receptor interaction,27/295,1.2805634211184195e-14,7.13914107273519e-13,0,0,7.71502232929839,246.7950094969633,CXCL6;CSF2;IL20RB;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;CCL5;CCL2;IL32;IL11;TNFSF14;CCL20;TNFRSF9;LIF;IL36G;INHBA;TNFRSF1B;INHBE;IL1A;IL6;BMP2;IL23A;IL1B;LTB;IL7R
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),19/120,5.685728692532121e-15,2.6609210281050318e-12,0,0,14.085934547653238,462.0301627493868,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;TNF;CXCL2;CXCL5;IL1A;IL6;IL1B;CCL5;TNIP3;ANKRD1;NLRP3;CCL2
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219),18/115,3.694493440450057e-14,1.4408524417755223e-11,0,0,13.844851240641292,428.21221995554464,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;CXCL2;CXCL5;IL1A;IL6;IL1B;TNIP3;ANKRD1;NLRP3;CCL2;TLR2
GO_Biological_Process_2021,type I interferon signaling pathway (GO:0060337),14/65,2.714970934679972e-13,7.941289983938918e-11,0,0,20.221194095615772,585.0967116601123,IFITM1;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFIT3;OAS1;IRF1;OAS3;IRF7;XAF1;IRF9
GO_Biological_Process_2021,cellular response to type I interferon (GO:0071357),14/65,2.714970934679972e-13,7.941289983938918e-11,0,0,20.221194095615772,585.0967116601123,IFITM1;STAT1;MX2;MX1;IFI6;IFIT1;SAMHD1;IFIT3;OAS1;IRF1;OAS3;IRF7;XAF1;IRF9
KEGG_2021_Human,Coronavirus disease,22/232,1.9502616538894456e-12,8.698166976346928e-11,0,0,7.891119691119691,212.76871453030708,CSF2;C1S;STAT1;DDX58;MMP1;C1R;MX2;MX1;TNF;C3;IFIH1;NFKBIA;IL6;OAS1;IL1B;OAS3;NLRP3;CCL2;CFB;IRF9;HBEGF;TLR2
KEGG_2021_Human,IL-17 signaling pathway,15/94,3.887217794152852e-12,1.4447492801601434e-10,0,0,14.019225278385838,368.3316961128752,CXCL6;CSF2;MMP1;CCL20;TNFAIP3;CXCL3;CXCL2;TNF;MMP9;CXCL5;NFKBIA;IL6;MMP13;IL1B;CCL2
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),17/121,1.1909299285049682e-12,3.0964178141129167e-10,0,0,12.145068473193474,333.4584815229993,GBP5;CCL20;STAT1;PTAFR;CX3CL1;ICAM1;OAS1;IRF1;OAS3;CCL5;IRF7;CCL2;GBP1;IRF9;GBP4;TLR2;GBP3
GO_Biological_Process_2021,inflammatory response (GO:0006954),22/230,1.6377334977608077e-12,3.8322963847602894e-10,0,0,7.967812592812593,216.22817029562344,SERPINA3;CXCL6;TNFAIP6;CCL20;PLA2G4C;IL36G;CXCL3;TNF;CXCL2;CX3CL1;CXCL5;IL1A;BMP2;IL6;VNN1;IL1B;CCL5;OLR1;NLRP3;CCL2;PTX3;TLR2
KEGG_2021_Human,NF-kappa B signaling pathway,15/104,1.7599998701022568e-11,5.606856729040048e-10,0,0,12.437695362000508,307.99617122625307,TNFSF14;BCL2A1;GADD45A;DDX58;TNFAIP3;TRAF1;CXCL3;TNF;CXCL2;ICAM1;NFKBIA;PLAU;IL1B;LTB;BIRC3
KEGG_2021_Human,Lipid and atherosclerosis,20/215,2.8945719839047612e-11,8.068619405134522e-10,0,0,7.67226643088712,186.17213886464876,ABCA1;MMP1;VLDLR;CXCL3;SOD2;TNF;CXCL2;MMP9;VAV1;ICAM1;NFKBIA;IL6;IL1B;CCL5;CYP1A1;IRF7;OLR1;NLRP3;CCL2;TLR2
KEGG_2021_Human,Influenza A,18/172,4.102421192909071e-11,1.0164888066874698e-09,0,0,8.695126166609056,207.96010380690615,DDX58;STAT1;MX2;MX1;TNF;ICAM1;NFKBIA;IFIH1;IL1A;IL6;OAS1;IL1B;OAS3;CCL5;IRF7;NLRP3;CCL2;IRF9
KEGG_2021_Human,Measles,16/139,1.2115737086487373e-10,2.7018093702866843e-09,0,0,9.619144040497009,219.6428696616356,STAT5A;DDX58;STAT1;MX2;MX1;TNFAIP3;NFKBIA;IFIH1;IL1A;IL6;OAS1;IL1B;OAS3;IRF7;IRF9;TLR2
GO_Biological_Process_2021,negative regulation of viral process (GO:0048525),13/70,1.463442651698472e-11,3.1131416408858407e-09,0,0,16.732521602513746,417.4369985582085,IFITM1;APOBEC3G;STAT1;MX1;IFIT1;TNF;IFIH1;OAS1;IFI16;OAS3;CCL5;TRIM14;PTX3
KEGG_2021_Human,Pertussis,12/76,6.525150858026566e-10,1.3228260375817497e-08,0,0,13.700046468401489,289.7585427562044,C3;CXCL6;IL1A;IL6;C1S;IL23A;C1R;IL1B;IRF1;NLRP3;TNF;CXCL5
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496),17/159,1.0278644590791844e-10,1.9130207939603623e-08,0,0,8.877747545881348,204.1737017043469,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;CXCL2;CXCL5;IL1A;IL6;IL1B;TNIP3;ANKRD1;NLRP3;CCL2
GO_Biological_Process_2021,regulation of inflammatory response (GO:0050727),19/206,1.062789329977979e-10,1.9130207939603623e-08,0,0,7.574560150222476,173.9494256823713,SEMA7A;TNFAIP6;SERPINE1;TNFAIP3;TNFRSF1B;ETS1;TNF;MMP9;CX3CL1;NFKBIA;IL6;IL23A;IL1B;CCL5;NFKBIZ;NLRP3;NLRP1;TLR2;BIRC3
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,13/100,1.5064658274951587e-09,2.799515662761837e-08,0,0,10.94595985589295,222.35074941378844,CXCL6;TNFSF14;CCL20;IL20RB;CXCL3;TNFRSF1B;TNF;CXCL2;CX3CL1;CXCL5;IL6;CCL5;CCL2
GO_Biological_Process_2021,cellular response to tumor necrosis factor (GO:0071356),18/194,3.02523205145496e-10,5.05645928600329e-08,0,0,7.599680262703076,166.57635151128133,TNFSF14;CCL20;STAT1;TNFRSF9;TRAF1;TNFRSF1B;TNF;CX3CL1;NFKBIA;CCL5;ANKRD1;HAS2;CCL2;LTB;GBP1;NKX3-1;BIRC3;GBP3
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),24/384,1.1795692672452943e-09,1.8401280569026597e-07,0,0,5.021789883268482,103.23854142292898,CSF2;DTX3L;DDX58;PDGFB;IL36G;ANK2;INHBA;ETS1;TNF;VEGFA;GREM1;IL1A;IL6;BMP2;C1QTNF1;CUX2;IL1B;ADM2;LAMP3;FGF19;ANKRD31;TLR2;NKX3-1;RBMS3
GO_Biological_Process_2021,cellular response to lipid (GO:0071396),18/219,2.1546444861310722e-09,3.1511675609666924e-07,0,0,6.645933828954089,132.6238636099373,CD274;CXCL6;SERPINE1;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;CXCL2;CXCL5;IL1A;IL6;IL1B;TNIP3;ANKRD1;NLRP3;CCL2;NKX3-1
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),22/335,2.396642713292506e-09,3.298908205355567e-07,0,0,5.2664092664092665,104.53399473975868,GBP5;CCBE1;CD274;CSF2;DDX58;SERPINE1;TNF;RASGRP1;EREG;C3;IFIH1;IL1A;IL6;IFI16;IL23A;IL1B;IRF1;IRF7;CYP1B1;NLRP3;LTB;TLR2
GO_Biological_Process_2021,regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),8/28,3.348153130844733e-09,4.352599070098153e-07,0,0,28.863003663003663,563.2573875546136,IL1A;CSF2;UNC5B;IL1B;IFI6;SNAI2;INHBA;TNF
GO_Biological_Process_2021,negative regulation of viral genome replication (GO:0045071),10/54,3.544983137776465e-09,4.365926601261542e-07,0,0,16.500335457900032,321.05911240438274,IFIH1;IFITM1;OAS1;IFI16;APOBEC3G;OAS3;CCL5;MX1;IFIT1;TNF
GO_Biological_Process_2021,positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),14/134,6.408092591429599e-09,7.451703334892858e-07,0,0,8.563857677902622,161.56320557325296,IL11;CSF2;ITGB3;PDGFB;LIF;NEDD9;PARP14;PARP9;TNF;VEGFA;GREM1;IL6;IL23A;CCL5
GO_Biological_Process_2021,cellular response to oxygen-containing compound (GO:1901701),21/323,6.687426069775641e-09,7.451703334892858e-07,0,0,5.193033622007132,97.74866286563396,CD274;CXCL6;SERPINE1;PDGFB;IL36G;TNFAIP3;PDCD1LG2;CXCL3;TNFRSF1B;CXCL2;MMP9;CXCL5;SLC5A5;IL1A;IL6;IL1B;TNIP3;ANKRD1;NLRP3;CCL2;TLR2
GO_Biological_Process_2021,positive regulation of response to external stimulus (GO:0032103),14/139,1.0319129102223812e-08,1.0965559555470984e-06,0,0,8.219205992509364,151.1451691662128,GBP5;SERPINE1;PDGFB;DDX60;ETS1;TNF;CX3CL1;EREG;NFKBIA;IL23A;IL1B;CCL5;NFKBIZ;TLR2
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),33/764,1.07781140929843e-08,1.0965559555470984e-06,0,0,3.456400864922113,63.41026005590688,IFITM1;CSF2;BNC1;PDGFB;LAMC2;ETS1;IFIT3;CX3CL1;CXCL5;RPS6KA2;CYP1B1;HAS2;NKX3-1;STAT5A;IL11;MYOCD;STAT1;TNFRSF9;LIF;INHBA;SOD2;DHRS2;EREG;VEGFA;GREM1;IL1A;IL6;BMP2;IL1B;FGF19;IRF1;IL7R;HBEGF
GO_Biological_Process_2021,positive regulation of defense response (GO:0031349),12/98,1.298783242881662e-08,1.2663136618096203e-06,0,0,10.183971643468489,184.9333164452708,NFKBIA;GBP5;IL23A;IL1B;CCL5;SERPINE1;NFKBIZ;ETS1;TNF;CX3CL1;EREG;TLR2
GO_Biological_Process_2021,response to interferon-gamma (GO:0034341),11/80,1.5380531629074912e-08,1.4396177604814114e-06,0,0,11.602254428341384,208.72645189762204,GBP5;IFITM1;CCL20;STAT1;CCL5;CCL2;GBP1;CX3CL1;GBP4;TLR2;GBP3
GO_Biological_Process_2021,positive regulation of cell motility (GO:2000147),17/221,1.6424605884648747e-08,1.4782145296183872e-06,0,0,6.160037878787879,110.41550820686868,SEMA7A;PDGFB;NEDD9;LAMC2;SOD2;MMP9;VEGFA;BMP2;PLAU;PODXL;IL1B;CCL5;DUOXA2;SNAI2;HAS2;DUOX2;HBEGF
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240),7/23,2.0282612037964744e-08,1.6950468631727678e-06,0,0,31.46008211678832,557.2682233369046,IL1A;CSF2;UNC5B;IL1B;IFI6;SNAI2;TNF
GO_Biological_Process_2021,negative regulation of signal transduction in absence of ligand (GO:1901099),7/23,2.0282612037964744e-08,1.6950468631727678e-06,0,0,31.46008211678832,557.2682233369046,IL1A;CSF2;UNC5B;IL1B;IFI6;SNAI2;TNF
GO_Biological_Process_2021,regulation of viral genome replication (GO:0045069),10/67,3.1284337280142074e-08,2.524322387432154e-06,0,0,12.728685181588656,219.95356723312207,IFIH1;IFITM1;OAS1;IFI16;APOBEC3G;OAS3;CCL5;MX1;IFIT1;TNF
GO_Biological_Process_2021,response to interleukin-1 (GO:0070555),11/86,3.333429885391564e-08,2.60007531060542e-06,0,0,10.670814814814817,183.7159930622419,IRAK2;CCL20;IL1B;CCL5;ANKRD1;CCL2;HAS2;GBP1;CX3CL1;NKX3-1;GBP3
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,11/100,1.6220745414124986e-07,2.782481713346055e-06,0,0,8.985851019558885,140.48829698392106,STAT5A;IL1A;IL6;COL4A1;STAT1;IL1B;SERPINE1;CCL2;TNF;ICAM1;VEGFA
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),19/300,5.4239524076916734e-08,4.094209236773715e-06,0,0,5.0164624704572,83.9246945983517,MMP1;COL22A1;ITGB3;ITGA2;SERPINE1;PDGFB;LAMC2;MMP9;MMP10;ICAM1;LOXL2;GREM1;MMP13;LOX;COL5A1;COL4A1;PXDN;CYP1B1;HAS2
GO_Biological_Process_2021,innate immune response (GO:0045087),19/302,6.0247238520838e-08,4.405579316836279e-06,0,0,4.980497936503655,82.79982741385614,PGLYRP4;IFITM1;APOBEC3G;DDX58;MX1;IFI6;IFIT1;TREM1;C3;IFIH1;VNN1;OAS1;IRF7;TRIM14;FYN;PTX3;NLRP1;CFB;TLR2
GO_Biological_Process_2021,positive regulation of MAPK cascade (GO:0043410),18/274,7.059086386363837e-08,5.005533983057994e-06,0,0,5.203392347908745,85.68095820006681,IL11;SEMA7A;CCL20;PDGFB;LIF;ADRB2;TNF;RASGRP1;CX3CL1;ICAM1;VEGFA;MARCO;BMP2;IL6;BMPER;FGF19;CCL5;CCL2
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),22/408,8.331477264946801e-08,5.734016705875152e-06,0,0,4.254366135195151,69.34889063109283,IFITM1;SEMA7A;DDX58;SERPINE1;PDGFB;STC1;NEDD9;LAMC2;SOD2;MMP9;CX3CL1;VEGFA;BMP2;PLAU;PODXL;IL1B;FGF19;CCL5;CYP1B1;SNAI2;HAS2;HBEGF
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),24/482,9.394288637469617e-08,6.2807529747654e-06,0,0,3.927276434506312,63.54560594002572,CSF2;DDX58;PDGFB;SAMD4A;IL36G;ANK2;INHBA;ETS1;TNF;EREG;VEGFA;IL1A;IL6;BMP2;C1QTNF1;CUX2;IFI16;IL1B;ADM2;LAMP3;FGF19;TLR2;NKX3-1;RBMS3
GO_Biological_Process_2021,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),9/59,1.275840828339641e-07,8.292965384207664e-06,0,0,13.01625,206.62633328048256,IL6;CSF2;IL23A;CCL5;LIF;PARP9;PARP14;TNF;VEGFA
GO_Biological_Process_2021,cellular response to chemokine (GO:1990869),9/60,1.4826915053985788e-07,9.37702195306128e-06,0,0,12.76038062283737,200.64724440333936,CXCL6;DUSP1;CCL20;CCL5;CCL2;CXCL3;CXCL2;CX3CL1;CXCL5
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),10/80,1.7690083779577212e-07,1.089336738005544e-05,0,0,10.357933579335793,161.04180049799822,IL1A;CSF2;UNC5B;IL1B;SERPINE1;IFI6;TNFAIP3;SNAI2;TNF;ICAM1
GO_Biological_Process_2021,positive regulation of smooth muscle cell proliferation (GO:0048661),8/46,2.2579303776078497e-07,1.3547582265647098e-05,0,0,15.177173703489492,232.2661091097288,IL6;STAT1;CCL5;PDGFB;TNF;MMP9;CX3CL1;EREG
GO_Biological_Process_2021,positive regulation of intracellular signal transduction (GO:1902533),25/546,2.4700506935296344e-07,1.444979655714836e-05,0,0,3.5984734884836853,54.7466609887155,PDGFB;ADRB2;DDX60;TNF;CX3CL1;CCL5;FYN;NKX3-1;IL11;TNFSF14;UNC5B;LIF;VAV1;EREG;VEGFA;IL6;BMP2;IL23A;IL1B;NEDD4;FGF19;TRIM14;HBEGF;TLR2;BIRC3
GO_Biological_Process_2021,regulation of innate immune response (GO:0045088),9/64,2.6299947516879245e-07,1.501021394865791e-05,0,0,11.829946524064171,179.23686603787388,GBP5;IFI16;IRF1;CCL5;TNFAIP3;PARP9;SAMHD1;EREG;BIRC3
GO_Biological_Process_2021,cellular response to interleukin-1 (GO:0071347),13/155,3.041093255584627e-07,1.694323385254292e-05,0,0,6.687539415598066,100.35240444696971,CCL20;CX3CL1;NFKBIA;IL1A;IRAK2;IL1B;CCL5;ANKRD1;CCL2;HAS2;GBP1;NKX3-1;GBP3
KEGG_2021_Human,Epstein-Barr virus infection,14/202,1.0910968449563985e-06,1.7379614030376916e-05,0,0,5.447326480197625,74.7826796747691,GADD45A;STAT1;DDX58;TNFAIP3;TNF;ICAM1;NFKBIA;IL6;OAS1;NEDD4;OAS3;IRF7;IRF9;TLR2
KEGG_2021_Human,Legionellosis,8/57,1.251010369078664e-06,1.859835415363614e-05,0,0,11.763474620617478,159.88395979674695,C3;NFKBIA;IL6;IL1B;CXCL3;CXCL2;TNF;TLR2
GO_Biological_Process_2021,regulation of smooth muscle cell proliferation (GO:0048660),8/49,3.7627113481274363e-07,2.047615012701907e-05,0,0,14.064504601089968,208.05559561887472,IL6;STAT1;CCL5;PDGFB;TNFAIP3;TNF;CX3CL1;EREG
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),9/68,4.480830042020721e-07,2.279378760506193e-05,0,0,11.025672981056829,161.17645580309753,OAS1;STAT1;IRF1;OAS3;PTAFR;IRF7;GBP1;IRF9;ICAM1
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),15/216,4.378237548316076e-07,2.279378760506193e-05,0,0,5.475816406688363,80.17388880814825,MMP1;COL22A1;ITGB3;ITGA2;SERPINE1;PDGFB;LAMC2;MMP9;MMP10;ICAM1;MMP13;LOX;COL5A1;COL4A1;PXDN
GO_Biological_Process_2021,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),9/68,4.480830042020721e-07,2.279378760506193e-05,0,0,11.025672981056829,161.17645580309753,IL6;CSF2;IL23A;CCL5;LIF;PARP9;PARP14;TNF;VEGFA
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),15/217,4.644798305051575e-07,2.312516602940571e-05,0,0,5.448429241420382,79.45088962586559,MMP1;COL22A1;ITGB3;ITGA2;SERPINE1;PDGFB;LAMC2;MMP9;MMP10;ICAM1;MMP13;LOX;COL5A1;COL4A1;PXDN
GO_Biological_Process_2021,positive regulation of inflammatory response (GO:0050729),10/89,4.889182980107404e-07,2.383476702802359e-05,0,0,9.17371199028446,133.30385513777014,NFKBIA;IL6;IL23A;IL1B;SERPINE1;NFKBIZ;ETS1;TNF;CX3CL1;TLR2
GO_Biological_Process_2021,regulation of defense response to virus by host (GO:0050691),7/36,5.907259260642634e-07,2.7645973339807523e-05,0,0,17.345834382079033,248.7724592971928,APOBEC3G;DTX3L;DDX58;STAT1;IL23A;TNFAIP3;PARP9
GO_Biological_Process_2021,positive regulation of interferon-beta production (GO:0032728),7/36,5.907259260642634e-07,2.7645973339807523e-05,0,0,17.345834382079033,248.7724592971928,IFIH1;OAS1;DDX58;IRF1;OAS3;IRF7;TLR2
GO_Biological_Process_2021,regulation of p38MAPK cascade (GO:1900744),7/37,7.198663551042487e-07,3.302916217537141e-05,0,0,16.766788321167883,237.1528117329056,BMP2;DUSP1;GADD45A;IL1B;RASGRP1;XDH;VEGFA
GO_Biological_Process_2021,positive regulation of angiogenesis (GO:0045766),11/116,7.382892039406212e-07,3.3223014177327955e-05,0,0,7.61037037037037,107.45028816081636,IL1A;BMPER;IL1B;ADM2;SERPINE1;CYP1B1;ANGPTL4;ETS1;FUT1;HK2;VEGFA
GO_Biological_Process_2021,antiviral innate immune response (GO:0140374),5/14,9.534889745098988e-07,4.209743774251252e-05,0,0,39.67391304347826,550.0049305358687,OAS1;DDX58;MX1;NLRP1;IFIT1
GO_Biological_Process_2021,positive regulation of ERK1 and ERK2 cascade (GO:0070374),13/172,1.0028576196966463e-06,4.345716352018801e-05,0,0,5.967333145592791,82.42472602536921,SEMA7A;CCL20;PDGFB;TNF;RASGRP1;CX3CL1;ICAM1;MARCO;BMP2;BMPER;FGF19;CCL5;CCL2
GO_Biological_Process_2021,positive regulation of vascular endothelial growth factor production (GO:0010575),6/25,1.0316980170324286e-06,4.389406108828878e-05,0,0,22.62200956937799,311.82866950249155,C3;CCBE1;IL1A;IL6;IL1B;CYP1B1
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),22/474,1.0676922108015082e-06,4.461428166563445e-05,0,0,3.6207503331397137,49.785357093927054,IL11;CSF2;STAT1;BNC1;PDGFB;LIF;LAMC2;TNF;CX3CL1;CXCL5;EREG;VEGFA;GREM1;IL6;BMP2;IL1B;FGF19;CCL5;HAS2;IL7R;HBEGF;NKX3-1
GO_Biological_Process_2021,chemokine-mediated signaling pathway (GO:0070098),8/56,1.0885672159952017e-06,4.468854886717143e-05,0,0,12.00915750915751,164.89351702248592,CXCL6;CCL20;CCL5;CCL2;CXCL3;CXCL2;CX3CL1;CXCL5
KEGG_2021_Human,Transcriptional misregulation in cancer,13/192,3.4315726920992904e-06,4.548868482389447e-05,0,0,5.295172183773868,66.62646106407082,CSF2;BCL2A1;GADD45A;PLAT;TRAF1;MMP9;RUNX2;ETV7;IL6;MAF;PLAU;NFKBIZ;BIRC3
KEGG_2021_Human,Inflammatory bowel disease,8/65,3.4677472735704302e-06,4.548868482389447e-05,0,0,10.10834779255832,127.08220278574667,IL1A;IL6;MAF;IL23A;STAT1;IL1B;TNF;TLR2
GO_Biological_Process_2021,positive regulation of type I interferon production (GO:0032481),9/77,1.3137079261425766e-06,5.210299232497677e-05,0,0,9.562013408304498,129.49506725428935,IFIH1;OAS1;IFI16;DDX58;STAT1;IRF1;OAS3;IRF7;TLR2
GO_Biological_Process_2021,positive regulation of tumor necrosis factor production (GO:0032760),9/77,1.3137079261425766e-06,5.210299232497677e-05,0,0,9.562013408304498,129.49506725428935,IFIH1;IL1A;IL6;OAS1;DDX58;IL23A;OAS3;RASGRP1;TLR2
KEGG_2021_Human,Fluid shear stress and atherosclerosis,11/139,4.413111613244534e-06,5.4673549430751726e-05,0,0,6.235561342592592,76.8902737689522,IL1A;DUSP1;ITGB3;IL1B;PDGFB;CCL2;PLAT;TNF;MMP9;ICAM1;VEGFA
GO_Biological_Process_2021,positive regulation of protein phosphorylation (GO:0001934),19/371,1.4085739823845286e-06,5.493438531299662e-05,0,0,3.989991759195004,53.75689054635429,IL11;ITGB3;PDGFB;LIF;INHBA;TNF;RASGRP1;MMP9;CX3CL1;EREG;VEGFA;INHBE;C3;MARCO;IL6;BMP2;IL1B;FGF19;NKX3-1
GO_Biological_Process_2021,regulation of tumor necrosis factor production (GO:0032680),11/124,1.4384662482569704e-06,5.5180508539693615e-05,0,0,7.068698787282858,95.08766331344326,IFIH1;IL1A;IL6;OAS1;IL23A;DDX58;OAS3;TNFAIP3;RASGRP1;CX3CL1;TLR2
GO_Biological_Process_2021,regulation of ERK1 and ERK2 cascade (GO:0070372),15/238,1.4923329811646613e-06,5.632353509556947e-05,0,0,4.930038099733639,66.13729873795914,SEMA7A;CCL20;PDGFB;TNF;RASGRP1;CX3CL1;ICAM1;MARCO;BMP2;BMPER;IL1B;FGF19;CCL5;CCL2;GBP1
GO_Biological_Process_2021,regulation of vascular endothelial growth factor production (GO:0010574),6/27,1.684165635335692e-06,6.255472359818286e-05,0,0,20.465454545454545,272.0726703448559,C3;CCBE1;IL1A;IL6;IL1B;CYP1B1
GO_Biological_Process_2021,response to organic cyclic compound (GO:0014070),8/60,1.8678120916774852e-06,6.820222309767886e-05,0,0,11.083122006198929,146.19461198808136,TIPARP;IL1B;CCL5;CYP1A1;CYP1B1;CCL2;TNF;NKX3-1
GO_Biological_Process_2021,negative regulation of cytokine production (GO:0001818),13/182,1.894506197157746e-06,6.820222309767886e-05,0,0,5.611366245694604,73.93846100927912,CD274;DDX58;TNFAIP3;UBE2L6;INHBA;PDCD1LG2;TNF;CX3CL1;HERC5;IFIH1;IL6;IL23A;GBP1
GO_Biological_Process_2021,negative regulation of cell population proliferation (GO:0008285),19/379,1.9298537531358795e-06,6.842208761118118e-05,0,0,3.899713740458015,51.312692078591816,IFITM1;MYOCD;TNFAIP3;INHBA;SOD2;DHRS2;ETS1;IFIT3;EREG;GREM1;IL1A;IL6;BMP2;FAP;RPS6KA2;IL1B;IRF1;CYP1B1;NKX3-1
GO_Biological_Process_2021,positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),9/81,2.0229693629609936e-06,7.065295984072724e-05,0,0,9.028952205882351,118.37808805245083,IFIH1;IL1A;IL6;OAS1;DDX58;IL23A;OAS3;RASGRP1;TLR2
GO_Biological_Process_2021,positive regulation of defense response to virus by host (GO:0002230),6/28,2.118331428550582e-06,7.183906583780236e-05,0,0,19.534214876033055,255.2122092156064,APOBEC3G;DTX3L;DDX58;STAT1;IL23A;PARP9
