"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042742","defense response to bacterium","17/168","202/12916",0.0841584158415842,6.47017916077322,8.99532689760697,1.05916451545713e-09,2.31578755843876e-07,1.65484500986459e-07,"CCL20/CXCL6/GBP1/GBP3/GBP5/IL1B/IL6/IL7R/NFKBIZ/NLRP1/OAS1/OAS3/PGLYRP4/SERPINE1/TLR2/TNF/TREM1",17
"GO:0048525","negative regulation of viral process","11/168","69/12916",0.159420289855072,12.2563837129054,10.7622578044013,1.23361547604194e-09,2.51739798144292e-07,1.79891435734397e-07,"APOBEC3G/CCL5/IFI16/IFIH1/IFIT1/MX1/OAS1/OAS3/PTX3/STAT1/TNF",11
"GO:0001906","cell killing","15/168","157/12916",0.0955414012738854,7.34531392174704,9.18280662802913,1.85373976244413e-09,3.54643588302592e-07,2.53425738576243e-07,"C1R/C1S/CCL20/CXCL3/CXCL6/GBP1/GBP3/GBP5/ICAM1/IL7R/PGLYRP4/RAET1L/RASGRP1/TREM1/ULBP1",15
"GO:0050727","regulation of inflammatory response","20/168","310/12916",0.0645161290322581,4.96006144393241,8.10167726253807,3.58393527105114e-09,6.14311515964716e-07,4.38982558219598e-07,"BIRC3/CCL5/DUOXA2/ETS1/GBP1/GBP3/GBP5/IFI16/IL1B/IL6/NFKBIZ/NLRP1/NLRP3/SEMA7A/SERPINE1/TLR2/TNF/TNFAIP3/TNFAIP6/TNFRSF1B",20
"GO:0045089","positive regulation of innate immune response","21/168","343/12916",0.0612244897959184,4.7069970845481,7.98786406238741,3.61241662442499e-09,6.14311515964716e-07,4.38982558219598e-07,"BIRC3/CCL5/CD274/DDX60/EREG/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/PARP9/RASGRP1/TLR2/TNF/TNFAIP3/TNIP3",21
"GO:0045071","negative regulation of viral genome replication","9/168","46/12916",0.195652173913043,15.0419254658385,10.9520930408926,6.26953092437924e-09,1.01005442944868e-06,7.21777576778951e-07,"APOBEC3G/CCL5/IFI16/IFIH1/IFIT1/MX1/OAS1/OAS3/TNF",9
"GO:0030335","positive regulation of cell migration","24/168","463/12916",0.0518358531317495,3.98518975624807,7.50941771490531,6.88267945148662e-09,1.05339409005003e-06,7.52747784220484e-07,"AKAP12/CCBE1/CCL20/CCL5/CSF2/ETS1/FUT1/GREM1/HBEGF/ICAM1/IL1B/IL6/ITGA2/ITGB3/LAMC2/PDGFB/PLAU/PODXL/SEMA7A/SERPINE1/SOD2/TNF/TNFAIP6/VEGFA",24
"GO:0001819","positive regulation of cytokine production","22/168","397/12916",0.0554156171284635,4.26040542161449,7.5746550356966,9.3325357563166e-09,1.30543988292528e-06,9.32857881572493e-07,"AKAP12/ARRDC4/CCBE1/CD274/CSF2/EREG/GBP5/IFI16/IFIH1/IL1A/IL1B/IL6/IRF7/NLRP1/NLRP3/OAS1/OAS3/SEMA7A/SERPINE1/STAT1/TLR2/TNF",22
"GO:0002833","positive regulation of response to biotic stimulus","21/168","362/12916",0.0580110497237569,4.45994475138122,7.66501847253126,9.38244933824114e-09,1.30543988292528e-06,9.32857881572493e-07,"BIRC3/CCL5/CD274/DDX60/EREG/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/PARP9/RASGRP1/TLR2/TNF/TNFAIP3/TNIP3",21
"GO:0031640","killing of cells of another organism","10/168","67/12916",0.149253731343284,11.4747690120824,9.86797431162795,1.38782675674555e-08,1.71610682036105e-06,1.22631749951349e-06,"C1R/C1S/CCL20/CXCL3/CXCL6/GBP1/GBP3/GBP5/PGLYRP4/TREM1",10
"GO:0141061","disruption of cell in another organism","10/168","67/12916",0.149253731343284,11.4747690120824,9.86797431162795,1.38782675674555e-08,1.71610682036105e-06,1.22631749951349e-06,"C1R/C1S/CCL20/CXCL3/CXCL6/GBP1/GBP3/GBP5/PGLYRP4/TREM1",10
"GO:0045088","regulation of innate immune response","22/168","406/12916",0.0541871921182266,4.1659629368989,7.44082356959587,1.40159001989632e-08,1.71610682036105e-06,1.22631749951349e-06,"BIRC3/CCL5/CD274/DDX60/EREG/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/PARP14/PARP9/RASGRP1/TLR2/TNF/TNFAIP3/TNIP3",22
"GO:0050729","positive regulation of inflammatory response","13/168","131/12916",0.099236641221374,7.62940748818611,8.75469085419123,1.47214023615594e-08,1.73316202418206e-06,1.23850502458788e-06,"CCL5/ETS1/GBP1/GBP3/GBP5/IL1B/IL6/NFKBIZ/NLRP1/NLRP3/SERPINE1/TLR2/TNF",13
"GO:0006935","chemotaxis","20/168","346/12916",0.0578034682080925,4.44398568676025,7.45439783761452,2.30837506208403e-08,2.52354859465686e-06,1.80330954098143e-06,"CCL20/CCL5/CXCL3/CXCL5/CXCL6/GREM1/HBEGF/IL1B/IL6/ITGA2/ITGB3/LOX/PDGFB/PLAU/PTAFR/SEMA7A/SERPINE1/TNFAIP6/TREM1/VEGFA",20
"GO:0042330","taxis","20/168","346/12916",0.0578034682080925,4.44398568676025,7.45439783761452,2.30837506208403e-08,2.52354859465686e-06,1.80330954098143e-06,"CCL20/CCL5/CXCL3/CXCL5/CXCL6/GREM1/HBEGF/IL1B/IL6/ITGA2/ITGB3/LOX/PDGFB/PLAU/PTAFR/SEMA7A/SERPINE1/TNFAIP6/TREM1/VEGFA",20
"GO:0141060","disruption of anatomical structure in another organism","10/168","71/12916",0.140845070422535,10.8283031522468,9.53282197184236,2.47103237095667e-08,2.60821727155116e-06,1.86381316401015e-06,"C1R/C1S/CCL20/CXCL3/CXCL6/GBP1/GBP3/GBP5/PGLYRP4/TREM1",10
"GO:0002221","pattern recognition receptor signaling pathway","17/168","267/12916",0.0636704119850187,4.89504191189585,7.38278954096851,6.97138264262183e-08,6.89185330118532e-06,4.92486843304152e-06,"BIRC3/CD274/DDX60/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/TLR2/TNF/TNFAIP3/TNIP3",17
