"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"LIPH",1092.3732766116,0.548681427118606,0.11513587933717,2.59232415983918e-07,2.65367583162205e-05,TRUE
"CARS",942.288275664242,0.615500257913968,0.131809001135321,2.73853456175044e-07,2.74837896703777e-05,TRUE
"OLR1",21.8005249804588,1.75431511825838,0.392821669326916,2.72366805410662e-07,2.74837896703777e-05,TRUE
"BCL11B",62.330892668443,-0.798816755204572,0.171359874866419,2.70936217970046e-07,2.74837896703777e-05,TRUE
"FNDC3B",2399.20353310806,0.877242436400845,0.189545336932778,2.80136554424817e-07,2.79317973583965e-05,TRUE
"ITGA2",2263.92655859645,1.27946770531938,0.280923219569508,2.82685574373462e-07,2.80041096419645e-05,TRUE
"BACH1",424.708084794311,0.829962460722881,0.184638170991096,2.96521990674478e-07,2.91865074795296e-05,TRUE
"PTPRE",141.384799192496,0.963984215341894,0.217127039582998,3.02220701477586e-07,2.94940677704646e-05,TRUE
"ARHGEF39",200.02531402728,-0.648805058840954,0.136857517611468,3.03488290962775e-07,2.94940677704646e-05,TRUE
"ALDH16A1",504.838882348045,-1.18766430392047,0.263107456190384,3.33088954208187e-07,3.2038008209489e-05,TRUE
"IL7R",27.3519757991817,1.08453666965465,0.238508408187812,3.33837923381195e-07,3.2038008209489e-05,TRUE
"DDX50",644.189156747853,0.401802376815322,0.0828525412819717,3.44498944259277e-07,3.28557844043553e-05,TRUE
"SNAPIN",418.08429272283,-0.635371725882577,0.135903186749237,3.81219761973875e-07,3.5692862470176e-05,TRUE
"NEDD4",1532.84943785886,0.95592695804348,0.225510487135253,3.77443441019477e-07,3.5692862470176e-05,TRUE
"PDP1",503.393078421931,0.988319481115207,0.220852907884995,3.79805878996332e-07,3.5692862470176e-05,TRUE
"GADD45A",1929.05724626478,0.992486821461892,0.232233061604007,4.17690115261685e-07,3.88704952717768e-05,TRUE
